,0
819,Dec 1
820,Dec 6
821,Dec 3
822,Dec 4
823,Jan 24
824,Dec 6
825,Feb 7
826,Dec 27
827,Jan 3
828,Feb 21
829,Apr 14
830,Jun 6
831,Jul 21
832,-
833,Jan 10
834,Jan 3
835,Dec 13
836,Jan 6
837,Jan 31
838,-
839,Dec 13
840,-
841,Dec 10
842,Dec 12
843,Dec 16
844,Dec 13
845,Jan 24
846,Jan 10
847,Apr 4
848,Mar 14
849,Jan 24
850,Dec 27
851,Dec 20
852,Jan 17
853,Apr 11
854,-
855,-
856,May 30
857,Dec 15
858,Dec 19
859,May 9
860,Apr 11
861,Jan 10
862,Apr 4
863,Apr 4
864,Mar 7
865,Jan 17
866,-
867,May 9
868,Feb 21
869,Jan 27
870,-
871,Apr 11
872,Mar 7
873,Mar 21
874,Feb 21
875,Jan 24
876,May 19
877,Feb 3
